Model,Batch,Concurrency,Model Config Path,Instance Group,Max Batch Size,Satisfies Constraints,Throughput (infer/sec),p99 Latency (ms),Output Token Throughput (infer/sec)
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_0,1:GPU,4,Yes,1.1,996.8,1454.7
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_0,1:GPU,4,Yes,1.1,1747.7,1468.4
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_0,1:GPU,4,Yes,1.1,3488.7,1469.0
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_0,1:GPU,4,Yes,1.1,6966.9,1469.7
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_default,1:CPU,8,Yes,1.1,998.5,1454.8
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_default,1:CPU,8,Yes,1.1,1746.2,1469.4
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_default,1:CPU,8,Yes,1.1,3490.1,1468.5
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_default,1:CPU,8,Yes,1.1,6971.2,1469.6

