Model,Batch,Concurrency,Model Config Path,Instance Group,Max Batch Size,Satisfies Constraints,Throughput (infer/sec),p99 Latency (ms),Output Token Throughput (infer/sec)
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_150,55:GPU,1,Yes,2.2,891.2,2888.5
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_150,55:GPU,1,Yes,8.0,3967.0,10349.4
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_150,55:GPU,1,Yes,1.1,986.0,1452.3
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_150,55:GPU,1,Yes,8.0,7910.4,10361.0
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_50,18:GPU,1,Yes,8.0,1005.4,10277.0
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_50,18:GPU,1,Yes,4.4,915.6,5683.2
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_50,18:GPU,1,Yes,8.0,1983.0,10365.0
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_50,18:GPU,1,Yes,2.2,890.1,2896.2
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_50,18:GPU,1,Yes,8.0,4925.0,10382.1
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_50,18:GPU,1,Yes,1.1,987.2,1457.9
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_50,18:GPU,1,Yes,8.0,7905.1,10371.5
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_53,19:GPU,1,Yes,8.0,1005.5,10267.7
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_53,19:GPU,1,Yes,4.3,918.6,5662.5
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_53,19:GPU,1,Yes,8.0,1984.9,10359.8
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_53,19:GPU,1,Yes,2.2,893.4,2884.1
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_53,19:GPU,1,Yes,8.0,4931.9,10373.4
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_53,19:GPU,1,Yes,1.1,1002.2,1453.4
gemma-3-1b-it_tensorrt_llm_bls,1,64,gemma-3-1b-it_tensorrt_llm_bls_config_53,19:GPU,1,Yes,8.0,8879.1,10360.3
gemma-3-1b-it_tensorrt_llm_bls,1,8,gemma-3-1b-it_tensorrt_llm_bls_config_67,25:GPU,1,Yes,8.0,1005.9,10273.5
gemma-3-1b-it_tensorrt_llm_bls,1,4,gemma-3-1b-it_tensorrt_llm_bls_config_67,25:GPU,1,Yes,4.4,917.2,5677.4
gemma-3-1b-it_tensorrt_llm_bls,1,16,gemma-3-1b-it_tensorrt_llm_bls_config_67,25:GPU,1,Yes,8.0,1987.5,10359.9
gemma-3-1b-it_tensorrt_llm_bls,1,2,gemma-3-1b-it_tensorrt_llm_bls_config_67,25:GPU,1,Yes,2.2,889.8,2895.7
gemma-3-1b-it_tensorrt_llm_bls,1,32,gemma-3-1b-it_tensorrt_llm_bls_config_67,25:GPU,1,Yes,8.0,4917.5,10383.1
gemma-3-1b-it_tensorrt_llm_bls,1,1,gemma-3-1b-it_tensorrt_llm_bls_config_67,25:GPU,1,Yes,1.1,995.7,1454.5
